avg_fitness,fitness_1,fitness_2,fitness_3,time,num_iter,num_ants,alpha,beta,Q
1.0538933139813755,1.0451443213909832,1.0595480319128168,1.0569875886403266,39095.393365859985,200,15,0.1,0.1,0.1
1.0552499323509335,1.0463897714530666,1.062928217234235,1.0564318083654987,39095.393365859985,200,15,0.1,0.1,0.6
1.0548714883098766,1.047686034147891,1.063070762636495,1.0538576681452434,39095.393365859985,200,15,0.1,0.1,1.1
1.0561179724519738,1.045879482885963,1.0655014716263376,1.0569729628436206,39095.393365859985,200,15,0.1,0.1,1.6
1.0539565031368079,1.046814651552371,1.0574383599593684,1.0576164978986844,39095.393365859985,200,15,0.1,0.1,2.1
1.0549940806164555,1.0462849028280474,1.0636421837707721,1.0550551552505467,39095.393365859985,200,15,0.1,0.1,2.6
1.0552634982908942,1.0452729746526046,1.0639632208071665,1.0565542994129113,39095.393365859985,200,15,0.1,0.1,3.1
1.0554829489846473,1.0462557125922172,1.0635876446603423,1.0566054897013823,39095.393365859985,200,15,0.1,0.1,3.6
1.0547972239808872,1.0472492617302855,1.063440141157134,1.053702269055242,39095.393365859985,200,15,0.1,0.6,0.1
1.0530534338437267,1.0479519896298986,1.0576230492196879,1.053585262681594,39095.393365859985,200,15,0.1,0.6,0.6
1.0514490989822158,1.0447713350442656,1.053261159910531,1.0563148019918507,39095.393365859985,200,15,0.1,0.6,1.1
1.0538685735117317,1.0453951411951528,1.0613217925270264,1.0548887868130161,39095.393365859985,200,15,0.1,0.6,1.6
1.0541607588744395,1.0455151454980098,1.063016223526065,1.053950907599244,39095.393365859985,200,15,0.1,0.6,2.1
1.0513240918511808,1.043370203724422,1.0573020121832934,1.0533000596458273,39095.393365859985,200,15,0.1,0.6,2.6
1.0525788883979443,1.0440491469874325,1.05861590893456,1.055071609271841,39095.393365859985,200,15,0.1,0.6,3.1
1.0517401837138889,1.0466524835755373,1.0513684048735654,1.0571996626925635,39095.393365859985,200,15,0.1,0.6,3.6
1.0538714579572057,1.0466870794105951,1.0591774138669408,1.0557498805940815,39095.393365859985,200,15,0.1,1.1,0.1
