avg_fitness,fitness_1,fitness_2,fitness_3,time,num_iter,num_ants,alpha,beta,Q,rho,tau0,q0,phi
1.0571362419652626,1.0473557343298683,1.063819171163979,1.0602338204019404,13.41087007522583,50,10,1,1,0.2,0.1,1,0.5,0.9
1.0574309237947552,1.0491520945361612,1.067073227422583,1.0560674494255216,12.248711824417114,50,10,1,1,0.2,0.3,1,0.5,0.9
1.0586782583615675,1.0500340424687689,1.0655013632946173,1.0604993693213165,12.191831111907959,50,10,1,1,0.2,0.5,1,0.5,0.9
1.0580579708567495,1.0496790990063207,1.0678504820032095,1.056644331560718,13.059295892715454,50,10,1,1,0.2,0.7,1,0.5,0.9
1.0546046586599154,1.0500968068615188,1.0549173128809182,1.058799856237309,12.639049053192139,50,10,1,1,0.2,0.9,1,0.5,0.9
1.0563914555725866,1.0485882971461138,1.062476640524715,1.0581094290469313,11.962371826171875,50,10,1,1,0.4,0.1,1,0.5,0.9
1.0577641438368632,1.0497754098848509,1.065598055252016,1.0579189663737234,12.509763956069946,50,10,1,1,0.4,0.3,1,0.5,0.9
1.057439776724098,1.0470700481283857,1.0648158421094713,1.0604334399344368,11.861149072647095,50,10,1,1,0.4,0.5,1,0.5,0.9
1.0581501545617729,1.0473297628570064,1.0658100337740049,1.061310667054307,11.850366353988647,50,10,1,1,0.4,0.7,1,0.5,0.9
1.0581445381390733,1.0485882971461138,1.0673769393400525,1.0584683779310535,11.620728015899658,50,10,1,1,0.4,0.9,1,0.5,0.9
1.056880469351676,1.0479801318232604,1.0635043024821942,1.0591569737495736,12.427747964859009,50,10,1,1,0.6,0.1,1,0.5,0.9
1.058221188087002,1.0488404368618165,1.0677265179552626,1.0580966094439268,11.900312662124634,50,10,1,1,0.6,0.3,1,0.5,0.9
1.0556029790964605,1.04687093350311,1.0633815780747267,1.0565564257115452,12.016360998153687,50,10,1,1,0.6,0.5,1,0.5,0.9
1.0562658675307814,1.048060210531252,1.0638055351187048,1.0569318569423873,12.072688817977905,50,10,1,1,0.6,0.7,1,0.5,0.9
1.058894986967602,1.0482723108929588,1.0691384684613767,1.0592741815484708,12.632152080535889,50,10,1,1,0.6,0.9,1,0.5,0.9
1.0564783926153618,1.049118548050381,1.0643608940535065,1.0559557357421978,12.992187023162842,50,10,1,1,0.8,0.1,1,0.5,0.9
1.0547598347958789,1.0491434373785404,1.0571932928012218,1.0579427742078744,11.579936981201172,50,10,1,1,0.8,0.3,1,0.5,0.9
1.0563992613483013,1.0492202696524242,1.0601374389399587,1.0598400754525206,12.343589067459106,50,10,1,1,0.8,0.5,1,0.5,0.9
1.0585287737364881,1.048878311926407,1.066091432162844,1.0606165771202136,12.3227059841156,50,10,1,1,0.8,0.7,1,0.5,0.9
1.0568538728005212,1.0493944949495404,1.0606109816031155,1.0605561418489073,11.581138849258423,50,10,1,1,0.8,0.9,1,0.5,0.9
1.0556856372952959,1.0469434371981832,1.0634398411772619,1.0566736335104423,12.061259984970093,50,10,1,1,1,0.1,1,0.5,0.9
1.056221146928731,1.0475288774822822,1.061001468354148,1.0601330949497632,12.083818912506104,50,10,1,1,1,0.3,1,0.5,0.9
1.0561760184322606,1.0459273033224548,1.068469062602464,1.0541316893718624,12.28705620765686,50,10,1,1,1,0.5,1,0.5,0.9
