fitness,time,num_iter,num_ants,alpha,beta,Q
1.0566820323827828,0.835731029510498,10,1,0.1,0.1,0.1
1.091122458276031,0.8280692100524902,10,1,0.1,0.1,0.1
1.0593697652788157,0.6869850158691406,10,1,0.1,0.1,0.1
1.0526256707222474,0.8546881675720215,10,1,0.1,0.1,0.2
1.0576896268822142,2.001260995864868,10,15,0.2,2.7,0.2
1.0931131358067232,0.8280818462371826,10,1,0.1,0.1,0.2
1.0631139692355507,0.661139965057373,10,1,0.1,0.1,0.2
1.050805064902327,0.9687089920043945,10,1,0.1,0.1,0.30000000000000004
1.0867494132397408,0.9007790088653564,10,1,0.1,0.1,0.30000000000000004
1.0494093391817112,2.8017590045928955,10,15,0.2,2.7,0.30000000000000004
1.066053754373456,0.8054721355438232,10,1,0.1,0.1,0.30000000000000004
1.0713260007152061,4.202129125595093,10,29,0.4,0.4,0.4
1.0511034539797013,1.1963558197021484,10,1,0.1,0.1,0.4
1.0793606033017233,0.9268269538879395,10,1,0.1,0.1,0.4
1.0631674456049844,2.7564430236816406,10,15,0.2,2.7,0.30000000000000004
1.0592088815150498,0.9994361400604248,10,1,0.1,0.1,0.4
1.0570669110478015,1.234454870223999,10,1,0.1,0.1,0.5
1.0574921786266833,2.7632381916046143,10,15,0.2,2.7,0.30000000000000004
1.0599547971470555,4.522209167480469,10,29,0.4,0.4,0.4
1.0844005129155432,1.2088730335235596,10,1,0.1,0.1,0.5
1.0605544548120014,1.1856598854064941,10,1,0.1,0.1,0.5
1.0540430188397747,1.781209945678711,10,1,0.1,0.1,0.6
1.0503455889679647,4.728493928909302,10,15,0.2,2.7,0.4
1.0811479986935404,1.5199038982391357,10,1,0.1,0.1,0.6
1.0647008681781513,1.2016630172729492,10,1,0.1,0.1,0.6
1.0487174224805538,6.854548931121826,10,29,0.4,0.4,0.5
1.057408544918998,1.3836779594421387,10,1,0.1,0.1,0.7000000000000001
1.075324709129909,3.4607837200164795,10,15,0.2,2.7,0.4
1.046998441926116,14.319488048553467,45,13,0.5,3.0000000000000004,0.6
1.0848727720308566,1.2546639442443848,10,1,0.1,0.1,0.7000000000000001
1.0611029221884762,1.2232780456542969,10,1,0.1,0.1,0.7000000000000001
1.058126572558806,3.133270025253296,10,15,0.2,2.7,0.4
1.0564647272938255,1.4050610065460205,10,1,0.1,0.1,0.8
1.067239286008673,5.481080055236816,10,29,0.4,0.4,0.5
1.0865572868279991,1.2843830585479736,10,1,0.1,0.1,0.8
1.0661725889716922,1.0360682010650635,10,1,0.1,0.1,0.8
1.0479173937948405,3.9148309230804443,10,15,0.2,2.7,0.5
1.0495606959600894,1.3477799892425537,10,1,0.1,0.1,0.9
1.0836555582480798,1.201268196105957,10,1,0.1,0.1,0.9
1.066009876983338,1.3099489212036133,10,1,0.1,0.1,0.9
1.0571411595057394,21.58995270729065,45,27,0.7000000000000001,0.7000000000000001,0.7000000000000001
1.0598377907734076,5.426448345184326,10,29,0.4,0.4,0.5
1.0675652811460155,3.6201369762420654,10,15,0.2,2.7,0.5
1.0533900224530572,1.3174049854278564,10,1,0.1,0.1,1.0
1.0780640599037756,1.1774530410766602,10,1,0.1,0.1,1.0
1.0575635520083098,21.928030967712402,80,11,0.8,3.3000000000000003,0.9
1.062472262405075,1.2932381629943848,10,1,0.1,0.1,1.0
1.0574245343169182,2.9867429733276367,10,15,0.2,2.7,0.5
1.0643995336906058,13.771000862121582,45,13,0.5,3.0000000000000004,0.6
1.0529716290728262,1.354423999786377,10,1,0.1,0.1,1.1
1.0819462529461965,1.1716551780700684,10,1,0.1,0.1,1.1
1.0472708841271967,6.122596740722656,10,29,0.4,0.4,0.6
1.0647977640813286,1.0710017681121826,10,1,0.1,0.1,1.1
1.050016928534915,4.049505233764648,10,15,0.2,2.7,0.6
1.0522591710946032,1.6257410049438477,10,1,0.1,0.1,1.2000000000000002
1.0847537776081007,1.0900838375091553,10,1,0.1,0.1,1.2000000000000002
1.0557425676957286,23.77084493637085,115,9,1.1,3.6,1.2000000000000002
1.0676114017226446,0.8946008682250977,10,1,0.1,0.1,1.2000000000000002
1.0631376969992954,3.614309787750244,10,15,0.2,2.7,0.6
1.0624348861898916,5.606782913208008,10,29,0.4,0.4,0.6
1.0529813591514363,1.274832010269165,10,1,0.1,0.1,1.3000000000000003
1.0953938622428838,1.2198352813720703,10,1,0.1,0.1,1.3000000000000003
1.0691909877668921,1.129951000213623,10,1,0.1,0.1,1.3000000000000003
1.0625947534524878,2.9943108558654785,10,15,0.2,2.7,0.6
1.0549954854237116,1.320261001586914,10,1,0.1,0.1,1.4000000000000001
1.0571539570778572,11.803981065750122,45,13,0.5,3.0000000000000004,0.6
1.0597134715014065,5.0838463306427,10,29,0.4,0.4,0.6
1.078300809224051,1.261625051498413,10,1,0.1,0.1,1.4000000000000001
1.0631505337273157,1.1155672073364258,10,1,0.1,0.1,1.4000000000000001
1.0489747290037967,3.8681259155273438,10,15,0.2,2.7,0.7000000000000001
1.0569155542694233,1.3029680252075195,10,1,0.1,0.1,1.5000000000000002
1.0953046164258167,1.4274969100952148,10,1,0.1,0.1,1.5000000000000002
1.0667967754990484,3.418699026107788,10,15,0.2,2.7,0.7000000000000001
1.0682037464892375,1.0934960842132568,10,1,0.1,0.1,1.5000000000000002
1.0563861027507924,19.678385734558105,80,11,0.8,3.3000000000000003,0.9
1.0477260355821767,6.116858959197998,10,29,0.4,0.4,0.7000000000000001
1.054355462475141,1.215303897857666,10,1,0.1,0.1,1.6
1.0905386418893834,1.1638190746307373,10,1,0.1,0.1,1.6
1.0595379619409346,3.060087203979492,10,15,0.2,2.7,0.7000000000000001
1.0679935006615888,1.126810073852539,10,1,0.1,0.1,1.6
1.0467962725149964,26.593698740005493,45,27,0.7000000000000001,0.7000000000000001,0.8
1.0519164561035612,1.402554988861084,10,1,0.1,0.1,1.7000000000000002
1.0455670392505965,43.29542303085327,80,25,1.0,1.0,1.1
1.0739153689353904,1.2471418380737305,10,1,0.1,0.1,1.7000000000000002
1.0655039506768118,5.675072193145752,10,29,0.4,0.4,0.7000000000000001
1.0464968023177768,4.002676963806152,10,15,0.2,2.7,0.8
1.0655857288788642,1.0601489543914795,10,1,0.1,0.1,1.7000000000000002
1.055772810592668,1.2732701301574707,10,1,0.1,0.1,1.8000000000000003
1.046731405324263,15.444944143295288,45,13,0.5,3.0000000000000004,0.7000000000000001
1.074497945796801,1.3298301696777344,10,1,0.1,0.1,1.8000000000000003
1.0697170969575234,3.378887176513672,10,15,0.2,2.7,0.8
1.0676845307061746,1.1643519401550293,10,1,0.1,0.1,1.8000000000000003
1.0602345155090578,5.2178802490234375,10,29,0.4,0.4,0.7000000000000001
1.055971736644251,1.4202089309692383,10,1,0.1,0.1,1.9000000000000001
1.095828935601086,1.080014944076538,10,1,0.1,0.1,1.9000000000000001
1.0595397901655228,3.2349777221679688,10,15,0.2,2.7,0.8
1.0666771789580491,1.1118078231811523,10,1,0.1,0.1,1.9000000000000001
1.0554982061518963,1.3349189758300781,10,1,0.1,0.1,2.0
1.085414444559445,1.1764922142028809,10,1,0.1,0.1,2.0
1.0477736048553814,3.726702928543091,10,15,0.2,2.7,0.9
1.0670483085494638,1.1207597255706787,10,1,0.1,0.1,2.0
1.0475227850512117,6.400568008422852,10,29,0.4,0.4,0.8
1.0456059595650367,30.693794012069702,115,9,1.1,3.6,1.3000000000000003
1.051319677948813,1.5895779132843018,10,1,0.1,0.1,2.1
1.075775896316193,3.227475881576538,10,15,0.2,2.7,0.9
1.0830481908819285,1.14510178565979,10,1,0.1,0.1,2.1
1.0614338308389495,1.2786369323730469,10,1,0.1,0.1,2.1
1.0613527806579524,13.692253828048706,45,13,0.5,3.0000000000000004,0.7000000000000001
1.0595105385721109,2.9595437049865723,10,15,0.2,2.7,0.9
1.0570831278454849,1.3707261085510254,10,1,0.1,0.1,2.2
1.0691456758232463,5.831154823303223,10,29,0.4,0.4,0.8
1.0923694206644972,1.1517157554626465,10,1,0.1,0.1,2.2
1.0461421950084335,24.14521098136902,80,11,0.8,3.3000000000000003,1.0
1.0608707376657684,1.2555410861968994,10,1,0.1,0.1,2.2
1.04933906639175,3.845888137817383,10,15,0.2,2.7,1.0
